ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
Xelaev18007957m.g,Xelaev18007957m.g,NA,NA,NA
Xelaev18007959m.g,Xelaev18007959m.g,NA,NA,NA
Xelaev18007960m.g,Xelaev18007960m.g,NA,NA,NA
Xelaev18007968m.g,Xelaev18007968m.g,NA,NA,NA
Xelaev18007974m.g,Xelaev18007974m.g,NA,NA,NA
Xelaev18007976m.g,Xelaev18007976m.g,NA,NA,NA
Xelaev18007978m.g,Xelaev18007978m.g,NA,NA,NA
Xelaev18007982m.g,Xelaev18007982m.g,NA,NA,NA
Xelaev18007987m.g,Xelaev18007987m.g,NA,NA,NA
Xelaev18007988m.g,Xelaev18007988m.g,NA,NA,NA
Xelaev18007997m.g,Xelaev18007997m.g,NA,NA,NA
Xelaev18008000m.g,Xelaev18008000m.g,NA,NA,NA
Xelaev18008008m.g,Xelaev18008008m.g,NA,NA,NA
Xelaev18008010m.g,Xelaev18008010m.g,NA,NA,NA
Xelaev18008015m.g,Xelaev18008015m.g,NA,NA,NA
Xelaev18008017m.g,Xelaev18008017m.g,NA,NA,NA
Xelaev18008018m.g,Xelaev18008018m.g,NA,NA,NA
Xelaev18008019m.g,Xelaev18008019m.g,NA,NA,NA
Xelaev18008025m.g,Xetrov90028542m.L,NA,NA,NA
Xelaev18008026m.g,Xelaev18008026m.g,NA,NA,NA
Xelaev18008027m.g,Xelaev18008027m.g,NA,NA,NA
Xelaev18008028m.g,Xelaev18008028m.g,NA,NA,NA
Xelaev18008030m.g,Xelaev18008030m.g,NA,NA,NA
Xelaev18008031m.g,Xelaev18008031m.g,NA,NA,NA
Xelaev18008036m.g,Xelaev18008036m.g,NA,NA,NA
Xelaev18008042m.g,Xelaev18008042m.g,NA,NA,NA
Xelaev18008043m.g,Xelaev18008043m.g,NA,NA,NA
Xelaev18008045m.g,Xelaev18008045m.g,NA,NA,NA
Xelaev18008048m.g,loc100497254-like.L,NA,NA,NA
Xelaev18008049m.g,Xelaev18008049m.g,NA,NA,NA
Xelaev18008056m.g,Xelaev18008056m.g,NA,NA,NA
Xelaev18008071m.g,Xelaev18008071m.g,NA,NA,NA
Xelaev18008072m.g,Xelaev18008072m.g,NA,NA,NA
Xelaev18008074m.g,Xelaev18008074m.g,NA,NA,NA
Xelaev18008075m.g,Xelaev18008075m.g,NA,NA,NA
Xelaev18008078m.g,Xelaev18008078m.g,NA,NA,NA
Xelaev18008079m.g,gpr98.L,NA,NA,NA
Xelaev18008089m.g,loc100488885-like.L,NA,NA,NA
Xelaev18008094m.g,Xelaev18008094m.g,NA,NA,NA
Xelaev18008095m.g,Xelaev18008095m.g,NA,NA,NA
Xelaev18008097m.g,Xelaev18008097m.g,NA,NA,NA
Xelaev18008099m.g,Xelaev18008099m.g,NA,NA,NA
Xelaev18008100m.g,Xelaev18008100m.g,NA,NA,NA
Xelaev18008102m.g,Xelaev18008102m.g,NA,NA,NA
Xelaev18008135m.g,Xelaev18008135m.g,NA,NA,NA
Xelaev18008136m.g,Xetrov90027481m.L,NA,NA,NA
Xelaev18008143m.g,Xelaev18008143m.g,NA,NA,NA
Xelaev18008149m.g,Xelaev18008149m.g,NA,NA,NA
Xelaev18008151m.g,Xelaev18008151m.g,NA,NA,NA
Xelaev18008156m.g,Xelaev18008156m.g,NA,NA,NA
Xelaev18008157m.g,Xelaev18008157m.g,NA,NA,NA
Xelaev18008159m.g,Xelaev18008159m.g,NA,NA,NA
Xelaev18008162m.g,Xelaev18008162m.g,NA,NA,NA
Xelaev18008166m.g,ankrd31.L,NA,NA,NA
Xelaev18008177m.g,Xelaev18008177m.g,NA,NA,NA
Xelaev18008189m.g,Xelaev18008189m.g,NA,NA,NA
Xelaev18008190m.g,Xelaev18008190m.g,NA,NA,NA
Xelaev18008197m.g,Xelaev18008197m.g,NA,NA,NA
Xelaev18008200m.g,Xetrov90003335m.L,NA,NA,NA
Xelaev18008203m.g,Xelaev18008203m.g,NA,NA,NA
Xelaev18008209m.g,loc105946425.L,NA,NA,NA
Xelaev18008210m.g,Xelaev18008210m.g,NA,NA,NA
Xelaev18008211m.g,Xelaev18008211m.g,NA,NA,NA
Xelaev18008212m.g,Xelaev18008212m.g,NA,NA,NA
Xelaev18008216m.g,Xelaev18008216m.g,NA,NA,NA
Xelaev18008220m.g,Xelaev18008220m.g,NA,NA,NA
Xelaev18008222m.g,Xelaev18008222m.g,NA,NA,NA
Xelaev18008233m.g,Xelaev18008233m.g,NA,NA,NA
Xelaev18008235m.g,srek1ip1.L,NA,NA,NA
Xelaev18008240m.g,Xelaev18008240m.g,NA,NA,NA
Xelaev18008245m.g,Xetrov90030800m.L,NA,NA,NA
Xelaev18008247m.g,Xetrov90003530m.L,NA,NA,NA
Xelaev18008252m.g,Xelaev18008252m.g,NA,NA,NA
Xelaev18008254m.g,Xelaev18008254m.g,NA,NA,NA
Xelaev18008255m.g,Xelaev18008255m.g,NA,NA,NA
Xelaev18008257m.g,Xelaev18008257m.g,NA,NA,NA
Xelaev18008258m.g,Xelaev18008258m.g,NA,NA,NA
Xelaev18008267m.g,Xelaev18008267m.g,NA,NA,NA
Xelaev18008270m.g,Xelaev18008270m.g,NA,NA,NA
Xelaev18008272m.g,Xelaev18008272m.g,NA,NA,NA
Xelaev18008275m.g,Xelaev18008275m.g,NA,NA,NA
Xelaev18008276m.g,Xelaev18008276m.g,NA,NA,NA
Xelaev18008279m.g,Xelaev18008279m.g,NA,NA,NA
Xelaev18008280m.g,Xelaev18008280m.g,NA,NA,NA
Xelaev18008282m.g,Xelaev18008282m.g,NA,NA,NA
Xelaev18008283m.g,Xelaev18008283m.g,NA,NA,NA
Xelaev18008299m.g,Xelaev18008299m.g,NA,NA,NA
Xelaev18008302m.g,Xelaev18008302m.g,NA,NA,NA
Xelaev18008306m.g,Xelaev18008306m.g,NA,NA,NA
Xelaev18008308m.g,Xelaev18008308m.g,NA,NA,NA
Xelaev18008309m.g,Xelaev18008309m.g,NA,NA,NA
Xelaev18008316m.g,Xetrov90003721m.L,NA,NA,NA
Xelaev18008326m.g,Xelaev18008326m.g,NA,NA,NA
Xelaev18008329m.g,Xelaev18008329m.g,NA,NA,NA
Xelaev18008339m.g,Xelaev18008339m.g,NA,NA,NA
Xelaev18008340m.g,Xelaev18008340m.g,NA,NA,NA
Xelaev18008342m.g,Xelaev18008342m.g,NA,NA,NA
Xelaev18008355m.g,Xelaev18008355m.g,NA,NA,NA
Xelaev18008356m.g,Xelaev18008356m.g,NA,NA,NA
Xelaev18008380m.g,Xelaev18008380m.g,NA,NA,NA
Xelaev18008386m.g,Xelaev18008386m.g,NA,NA,NA
Xelaev18008393m.g,Xelaev18008393m.g,NA,NA,NA
Xelaev18008394m.g,Xelaev18008394m.g,NA,NA,NA
Xelaev18008395m.g,Xelaev18008395m.g,NA,NA,NA
Xelaev18008399m.g,Xelaev18008399m.g,NA,NA,NA
Xelaev18008402m.g,Xelaev18008402m.g,NA,NA,NA
Xelaev18008404m.g,Xelaev18008404m.g,NA,NA,NA
Xelaev18008431m.g,Xelaev18008431m.g,NA,NA,NA
Xelaev18008432m.g,Xelaev18008432m.g,NA,NA,NA
Xelaev18008433m.g,Xelaev18008433m.g,NA,NA,NA
Xelaev18008435m.g,Xelaev18008435m.g,NA,NA,NA
Xelaev18008437m.g,Xelaev18008437m.g,NA,NA,NA
Xelaev18008438m.g,Xelaev18008438m.g,NA,NA,NA
Xelaev18008444m.g,Xelaev18008444m.g,NA,NA,NA
Xelaev18008448m.g,Xelaev18008448m.g,NA,NA,NA
Xelaev18008454m.g,Xelaev18008454m.g,NA,NA,NA
Xelaev18008458m.g,Xelaev18008458m.g,NA,NA,NA
Xelaev18008461m.g,Xelaev18008461m.g,NA,NA,NA
Xelaev18008468m.g,Xelaev18008468m.g,NA,NA,NA
Xelaev18008471m.g,Xelaev18008471m.g,NA,NA,NA
Xelaev18008478m.g,Xelaev18008478m.g,NA,NA,NA
Xelaev18008479m.g,loxhd1.L,NA,NA,NA
Xelaev18008482m.g,Xelaev18008482m.g,NA,NA,NA
Xelaev18008483m.g,Xelaev18008483m.g,NA,NA,NA
Xelaev18008484m.g,Xelaev18008484m.g,NA,NA,NA
Xelaev18008487m.g,Xelaev18008487m.g,NA,NA,NA
Xelaev18008491m.g,Xelaev18008491m.g,NA,NA,NA
Xelaev18008493m.g,loc101731164.L,NA,NA,NA
Xelaev18008495m.g,Xelaev18008495m.g,NA,NA,NA
Xelaev18008497m.g,Xelaev18008497m.g,NA,NA,NA
Xelaev18008499m.g,Xelaev18008499m.g,NA,NA,NA
Xelaev18008500m.g,Xelaev18008500m.g,NA,NA,NA
Xelaev18008503m.g,Xelaev18008503m.g,NA,NA,NA
Xelaev18008505m.g,Xelaev18008505m.g,NA,NA,NA
Xelaev18008506m.g,Xelaev18008506m.g,NA,NA,NA
Xelaev18008509m.g,Xelaev18008509m.g,NA,NA,NA
Xelaev18008510m.g,Xelaev18008510m.g,NA,NA,NA
Xelaev18008512m.g,Xelaev18008512m.g,NA,NA,NA
Xelaev18008514m.g,Xelaev18008514m.g,NA,NA,NA
Xelaev18008526m.g,Xelaev18008526m.g,NA,NA,NA
Xelaev18008529m.g,Xelaev18008529m.g,NA,NA,NA
Xelaev18008533m.g,Xelaev18008533m.g,NA,NA,NA
Xelaev18008535m.g,Xelaev18008535m.g,NA,NA,NA
Xelaev18008536m.g,Xelaev18008536m.g,NA,NA,NA
Xelaev18008538m.g,Xelaev18008538m.g,NA,NA,NA
Xelaev18008539m.g,Xelaev18008539m.g,NA,NA,NA
Xelaev18008544m.g,Xelaev18008544m.g,NA,NA,NA
Xelaev18008546m.g,Xelaev18008546m.g,NA,NA,NA
Xelaev18008547m.g,loc101732660.L,NA,NA,NA
Xelaev18008552m.g,Xelaev18008552m.g,NA,NA,NA
Xelaev18008553m.g,Xetrov90028656m.L,NA,NA,NA
Xelaev18008556m.g,Xelaev18008556m.g,NA,NA,NA
Xelaev18008557m.g,Xelaev18008557m.g,NA,NA,NA
Xelaev18008560m.g,Xelaev18008560m.g,NA,NA,NA
Xelaev18008562m.g,Xelaev18008562m.g,NA,NA,NA
Xelaev18008563m.g,Xelaev18008563m.g,NA,NA,NA
Xelaev18008568m.g,Xelaev18008568m.g,NA,NA,NA
Xelaev18008569m.g,Xelaev18008569m.g,NA,NA,NA
Xelaev18008570m.g,Xelaev18008570m.g,NA,NA,NA
Xelaev18008571m.g,Xelaev18008571m.g,NA,NA,NA
Xelaev18008572m.g,Xelaev18008572m.g,NA,NA,NA
Xelaev18008573m.g,Xelaev18008573m.g,NA,NA,NA
Xelaev18008577m.g,Xelaev18008577m.g,NA,NA,NA
Xelaev18008578m.g,Xetrov90009976m.L,NA,NA,NA
Xelaev18008579m.g,Xelaev18008579m.g,NA,NA,NA
Xelaev18008581m.g,Xelaev18008581m.g,NA,NA,NA
Xelaev18008585m.g,Xelaev18008585m.g,NA,NA,NA
Xelaev18008586m.g,Xelaev18008586m.g,NA,NA,NA
Xelaev18008587m.g,Xelaev18008587m.g,NA,NA,NA
Xelaev18008589m.g,Xelaev18008589m.g,NA,NA,NA
Xelaev18008590m.g,Xelaev18008590m.g,NA,NA,NA
Xelaev18008591m.g,Xelaev18008591m.g,NA,NA,NA
Xelaev18008597m.g,Xelaev18008597m.g,NA,NA,NA
Xelaev18008599m.g,loc101733164.L,NA,NA,NA
Xelaev18008600m.g,Xelaev18008600m.g,NA,NA,NA
Xelaev18008603m.g,Xelaev18008603m.g,NA,NA,NA
Xelaev18008605m.g,Xelaev18008605m.g,NA,NA,NA
Xelaev18008606m.g,Xelaev18008606m.g,NA,NA,NA
Xelaev18008609m.g,Xelaev18008609m.g,NA,NA,NA
Xelaev18008613m.g,loc100145065.L,NA,NA,NA
Xelaev18008616m.g,Xelaev18008616m.g,NA,NA,NA
Xelaev18008621m.g,Xelaev18008621m.g,NA,NA,NA
Xelaev18008626m.g,Xelaev18008626m.g,NA,NA,NA
Xelaev18008630m.g,Xelaev18008630m.g,NA,NA,NA
Xelaev18008631m.g,Xelaev18008631m.g,NA,NA,NA
Xelaev18008632m.g,Xelaev18008632m.g,NA,NA,NA
Xelaev18008633m.g,Xelaev18008633m.g,NA,NA,NA
Xelaev18008635m.g,Xelaev18008635m.g,NA,NA,NA
Xelaev18008646m.g,Xelaev18008646m.g,NA,NA,NA
Xelaev18008648m.g,Xelaev18008648m.g,NA,NA,NA
Xelaev18008657m.g,Xelaev18008657m.g,NA,NA,NA
Xelaev18008658m.g,Xelaev18008658m.g,NA,NA,NA
Xelaev18008660m.g,Xelaev18008660m.g,NA,NA,NA
Xelaev18008663m.g,Xelaev18008663m.g,NA,NA,NA
Xelaev18008667m.g,Xelaev18008667m.g,NA,NA,NA
Xelaev18008673m.g,Xelaev18008673m.g,NA,NA,NA
Xelaev18008675m.g,Xelaev18008675m.g,NA,NA,NA
Xelaev18008677m.g,Xelaev18008677m.g,NA,NA,NA
Xelaev18008684m.g,Xetrov90002230m.S,NA,NA,NA
Xelaev18008685m.g,Xelaev18008685m.g,NA,NA,NA
Xelaev18008688m.g,Xelaev18008688m.g,NA,NA,NA
Xelaev18008689m.g,Xelaev18008689m.g,NA,NA,NA
Xelaev18008693m.g,Xelaev18008693m.g,NA,NA,NA
Xelaev18008702m.g,Xelaev18008702m.g,NA,NA,NA
Xelaev18008704m.g,Xelaev18008704m.g,NA,NA,NA
Xelaev18008710m.g,Xelaev18008710m.g,NA,NA,NA
Xelaev18008717m.g,Xelaev18008717m.g,NA,NA,NA
Xelaev18008727m.g,Xelaev18008727m.g,NA,NA,NA
Xelaev18008732m.g,Xelaev18008732m.g,NA,NA,NA
Xelaev18008738m.g,Xelaev18008738m.g,NA,NA,NA
Xelaev18008739m.g,Xelaev18008739m.g,NA,NA,NA
Xelaev18008740m.g,Xelaev18008740m.g,NA,NA,NA
Xelaev18008745m.g,Xelaev18008745m.g,NA,NA,NA
Xelaev18008747m.g,Xelaev18008747m.g,NA,NA,NA
Xelaev18008748m.g,Xelaev18008748m.g,NA,NA,NA
Xelaev18008755m.g,Xelaev18008755m.g,NA,NA,NA
Xelaev18008764m.g,Xelaev18008764m.g,NA,NA,NA
Xelaev18008774m.g,Xelaev18008774m.g,NA,NA,NA
Xelaev18008778m.g,Xelaev18008778m.g,NA,NA,NA
Xelaev18008784m.g,Xelaev18008784m.g,NA,NA,NA
Xelaev18008786m.g,Xelaev18008786m.g,NA,NA,NA
Xelaev18008788m.g,Xelaev18008788m.g,NA,NA,NA
Xelaev18008790m.g,Xelaev18008790m.g,NA,NA,NA
Xelaev18008791m.g,Xelaev18008791m.g,NA,NA,NA
Xelaev18008793m.g,Xelaev18008793m.g,NA,NA,NA
Xelaev18008796m.g,Xelaev18008796m.g,NA,NA,NA
Xelaev18008798m.g,Xelaev18008798m.g,NA,NA,NA
Xelaev18008800m.g,Xelaev18008800m.g,NA,NA,NA
Xelaev18008803m.g,Xelaev18008803m.g,NA,NA,NA
Xelaev18008809m.g,Xetrov90000224m.S,NA,NA,NA
Xelaev18008810m.g,Xelaev18008810m.g,NA,NA,NA
Xelaev18008812m.g,Xelaev18008812m.g,NA,NA,NA
Xelaev18008813m.g,Xelaev18008813m.g,NA,NA,NA
Xelaev18008814m.g,Xelaev18008814m.g,NA,NA,NA
Xelaev18008816m.g,Xetrov90015458m.S,NA,NA,NA
Xelaev18008818m.g,Xelaev18008818m.g,NA,NA,NA
Xelaev18008819m.g,Xelaev18008819m.g,NA,NA,NA
Xelaev18008820m.g,Xelaev18008820m.g,NA,NA,NA
Xelaev18008830m.g,Xetrov90003405m.S,NA,NA,NA
Xelaev18008831m.g,Xelaev18008831m.g,NA,NA,NA
Xelaev18008836m.g,Xelaev18008836m.g,NA,NA,NA
Xelaev18008844m.g,Xelaev18008844m.g,NA,NA,NA
Xelaev18008846m.g,Xelaev18008846m.g,NA,NA,NA
Xelaev18008856m.g,Xelaev18008856m.g,NA,NA,NA
Xelaev18008859m.g,Xelaev18008859m.g,NA,NA,NA
Xelaev18008862m.g,Xelaev18008862m.g,NA,NA,NA
Xelaev18008864m.g,loc101731372.S,NA,NA,NA
Xelaev18008867m.g,Xelaev18008867m.g,NA,NA,NA
Xelaev18008872m.g,Xelaev18008872m.g,NA,NA,NA
Xelaev18008876m.g,Xelaev18008876m.g,NA,NA,NA
Xelaev18008878m.g,Xelaev18008878m.g,NA,NA,NA
Xelaev18008880m.g,Xelaev18008880m.g,NA,NA,NA
Xelaev18008889m.g,Xelaev18008889m.g,NA,NA,NA
Xelaev18008895m.g,Xelaev18008895m.g,NA,NA,NA
Xelaev18008898m.g,Xetrov90029301m.S,NA,NA,NA
Xelaev18008902m.g,Xelaev18008902m.g,NA,NA,NA
Xelaev18008906m.g,Xelaev18008906m.g,NA,NA,NA
Xelaev18008908m.g,Xelaev18008908m.g,NA,NA,NA
Xelaev18008913m.g,Xelaev18008913m.g,NA,NA,NA
Xelaev18008914m.g,Xelaev18008914m.g,NA,NA,NA
Xelaev18008915m.g,Xelaev18008915m.g,NA,NA,NA
Xelaev18008921m.g,Xelaev18008921m.g,NA,NA,NA
Xelaev18008923m.g,Xelaev18008923m.g,NA,NA,NA
Xelaev18008927m.g,Xelaev18008927m.g,NA,NA,NA
Xelaev18008940m.g,loc101731252.S,NA,NA,NA
Xelaev18008943m.g,Xelaev18008943m.g,NA,NA,NA
Xelaev18008951m.g,Xetrov90000452m.S,NA,NA,NA
Xelaev18008954m.g,Xelaev18008954m.g,NA,NA,NA
Xelaev18008957m.g,Xelaev18008957m.g,NA,NA,NA
Xelaev18008958m.g,Xetrov90000548m.S,NA,NA,NA
Xelaev18008965m.g,Xelaev18008965m.g,NA,NA,NA
Xelaev18008966m.g,Xelaev18008966m.g,NA,NA,NA
Xelaev18008980m.g,Xelaev18008980m.g,NA,NA,NA
Xelaev18008981m.g,Xelaev18008981m.g,NA,NA,NA
Xelaev18008983m.g,Xelaev18008983m.g,NA,NA,NA
Xelaev18008986m.g,loc100493503-like.S,NA,NA,NA
Xelaev18008989m.g,Xelaev18008989m.g,NA,NA,NA
Xelaev18008995m.g,Xelaev18008995m.g,NA,NA,NA
Xelaev18008999m.g,Xelaev18008999m.g,NA,NA,NA
Xelaev18009000m.g,Xelaev18009000m.g,NA,NA,NA
Xelaev18009006m.g,Xelaev18009006m.g,NA,NA,NA
Xelaev18009007m.g,Xelaev18009007m.g,NA,NA,NA
Xelaev18009008m.g,Xelaev18009008m.g,NA,NA,NA
Xelaev18009013m.g,Xelaev18009013m.g,NA,NA,NA
Xelaev18009014m.g,Xelaev18009014m.g,NA,NA,NA
Xelaev18009016m.g,Xelaev18009016m.g,NA,NA,NA
Xelaev18009017m.g,Xetrov90000618m.S,NA,NA,NA
Xelaev18009027m.g,Xelaev18009027m.g,NA,NA,NA
Xelaev18009029m.g,Xelaev18009029m.g,NA,NA,NA
Xelaev18009033m.g,Xelaev18009033m.g,NA,NA,NA
Xelaev18009038m.g,Xelaev18009038m.g,NA,NA,NA
Xelaev18009041m.g,Xelaev18009041m.g,NA,NA,NA
Xelaev18009042m.g,Xelaev18009042m.g,NA,NA,NA
Xelaev18009043m.g,Xelaev18009043m.g,NA,NA,NA
Xelaev18009044m.g,Xelaev18009044m.g,NA,NA,NA
Xelaev18009045m.g,Xetrov90000654m.S,NA,NA,NA
Xelaev18009048m.g,Xelaev18009048m.g,NA,NA,NA
Xelaev18009049m.g,Xelaev18009049m.g,NA,NA,NA
Xelaev18009052m.g,Xelaev18009052m.g,NA,NA,NA
Xelaev18009053m.g,Xelaev18009053m.g,NA,NA,NA
Xelaev18009056m.g,Xelaev18009056m.g,NA,NA,NA
Xelaev18009062m.g,Xetrov90000669m.S,NA,NA,NA
Xelaev18009063m.g,Xelaev18009063m.g,NA,NA,NA
Xelaev18009064m.g,Xelaev18009064m.g,NA,NA,NA
Xelaev18009065m.g,Xelaev18009065m.g,NA,NA,NA
Xelaev18009077m.g,Xelaev18009077m.g,NA,NA,NA
Xelaev18009094m.g,Xetrov90015378m.S,NA,NA,NA
Xelaev18009095m.g,Xetrov90023034m.S,NA,NA,NA
Xelaev18009107m.g,Xelaev18009107m.g,NA,NA,NA
Xelaev18009110m.g,Xelaev18009110m.g,NA,NA,NA
Xelaev18009113m.g,Xelaev18009113m.g,NA,NA,NA
Xelaev18009116m.g,Xelaev18009116m.g,NA,NA,NA
Xelaev18009124m.g,Xelaev18009124m.g,NA,NA,NA
Xelaev18009136m.g,Xelaev18009136m.g,NA,NA,NA
Xelaev18009142m.g,Xelaev18009142m.g,NA,NA,NA
Xelaev18009143m.g,Xelaev18009143m.g,NA,NA,NA
Xelaev18009145m.g,Xelaev18009145m.g,NA,NA,NA
Xelaev18009155m.g,Xelaev18009155m.g,NA,NA,NA
Xelaev18009173m.g,Xelaev18009173m.g,NA,NA,NA
Xelaev18009181m.g,Xelaev18009181m.g,NA,NA,NA
Xelaev18009183m.g,Xelaev18009183m.g,NA,NA,NA
Xelaev18009190m.g,Xelaev18009190m.g,NA,NA,NA
Xelaev18009195m.g,Xelaev18009195m.g,NA,NA,NA
Xelaev18009197m.g,Xelaev18009197m.g,NA,NA,NA
Xelaev18009216m.g,Xelaev18009216m.g,NA,NA,NA
Xelaev18009218m.g,Xelaev18009218m.g,NA,NA,NA
Xelaev18009223m.g,Xelaev18009223m.g,NA,NA,NA
Xelaev18009225m.g,Xelaev18009225m.g,NA,NA,NA
Xelaev18009228m.g,Xelaev18009228m.g,NA,NA,NA
Xelaev18009231m.g,Xelaev18009231m.g,NA,NA,NA
Xelaev18009234m.g,Xelaev18009234m.g,NA,NA,NA
Xelaev18009236m.g,Xelaev18009236m.g,NA,NA,NA
Xelaev18009237m.g,Xelaev18009237m.g,NA,NA,NA
Xelaev18009239m.g,Xelaev18009239m.g,NA,NA,NA
Xelaev18009244m.g,Xelaev18009244m.g,NA,NA,NA
Xelaev18009253m.g,loc100498590.S,NA,NA,NA
Xelaev18009254m.g,Xelaev18009254m.g,NA,NA,NA
Xelaev18009258m.g,Xetrov90000949m.S,NA,NA,NA
Xelaev18009265m.g,Xelaev18009265m.g,NA,NA,NA
Xelaev18009268m.g,Xelaev18009268m.g,NA,NA,NA
Xelaev18009271m.g,il15.S,NA,NA,NA
Xelaev18009275m.g,Xelaev18009275m.g,NA,NA,NA
Xelaev18009283m.g,Xelaev18009283m.g,NA,NA,NA
Xelaev18009284m.g,Xelaev18009284m.g,NA,NA,NA
Xelaev18009291m.g,Xelaev18009291m.g,NA,NA,NA
Xelaev18009293m.g,Xelaev18009293m.g,NA,NA,NA
Xelaev18009296m.g,Xelaev18009296m.g,NA,NA,NA
Xelaev18009297m.g,Xelaev18009297m.g,NA,NA,NA
Xelaev18009307m.g,Xelaev18009307m.g,NA,NA,NA
Xelaev18009312m.g,Xelaev18009312m.g,NA,NA,NA
Xelaev18009317m.g,fat4.S,NA,NA,NA
Xelaev18009320m.g,Xelaev18009320m.g,NA,NA,NA
Xelaev18009323m.g,il-21.S,NA,NA,NA
Xelaev18009324m.g,Xelaev18009324m.g,NA,NA,NA
Xelaev18009336m.g,Xelaev18009336m.g,NA,NA,NA
Xelaev18009339m.g,Xelaev18009339m.g,NA,NA,NA
Xelaev18009342m.g,Xelaev18009342m.g,NA,NA,NA
Xelaev18009345m.g,egf.S,NA,NA,NA
Xelaev18009352m.g,Xelaev18009352m.g,NA,NA,NA
Xelaev18009355m.g,Xelaev18009355m.g,NA,NA,NA
Xelaev18009361m.g,Xelaev18009361m.g,NA,NA,NA
Xelaev18009365m.g,loc100493539.S,NA,NA,NA
Xelaev18009372m.g,Xelaev18009372m.g,NA,NA,NA
Xelaev18009373m.g,Xelaev18009373m.g,NA,NA,NA
Xelaev18009377m.g,Xetrov90001134m.S,NA,NA,NA
Xelaev18009382m.g,prdm5.S,NA,NA,NA
Xelaev18009387m.g,Xelaev18009387m.g,NA,NA,NA
Xelaev18009397m.g,Xelaev18009397m.g,NA,NA,NA
Xelaev18009402m.g,Xelaev18009402m.g,NA,NA,NA
Xelaev18009405m.g,Xelaev18009405m.g,NA,NA,NA
Xelaev18009412m.g,Xelaev18009412m.g,NA,NA,NA
Xelaev18009416m.g,Xelaev18009416m.g,NA,NA,NA
Xelaev18009417m.g,Xelaev18009417m.g,NA,NA,NA
Xelaev18009420m.g,Xelaev18009420m.g,NA,NA,NA
Xelaev18009427m.g,Xelaev18009427m.g,NA,NA,NA
Xelaev18009429m.g,Xelaev18009429m.g,NA,NA,NA
Xelaev18009430m.g,Xelaev18009430m.g,NA,NA,NA
Xelaev18009432m.g,Xelaev18009432m.g,NA,NA,NA
Xelaev18009446m.g,Xelaev18009446m.g,NA,NA,NA
Xelaev18009447m.g,Xelaev18009447m.g,NA,NA,NA
Xelaev18009449m.g,Xelaev18009449m.g,NA,NA,NA
Xelaev18009455m.g,Xelaev18009455m.g,NA,NA,NA
Xelaev18009458m.g,Xelaev18009458m.g,NA,NA,NA
Xelaev18009461m.g,Xelaev18009461m.g,NA,NA,NA
Xelaev18009462m.g,Xelaev18009462m.g,NA,NA,NA
Xelaev18009464m.g,Xelaev18009464m.g,NA,NA,NA
Xelaev18009465m.g,Xelaev18009465m.g,NA,NA,NA
Xelaev18009468m.g,Xelaev18009468m.g,NA,NA,NA
Xelaev18009472m.g,Xelaev18009472m.g,NA,NA,NA
Xelaev18009474m.g,Xelaev18009474m.g,NA,NA,NA
Xelaev18009475m.g,Xelaev18009475m.g,NA,NA,NA
Xelaev18009478m.g,Xelaev18009478m.g,NA,NA,NA
Xelaev18009482m.g,loc100271753.S,NA,NA,NA
Xelaev18009483m.g,ibsp.S,NA,NA,NA
Xelaev18009484m.g,loc100271752.S,NA,NA,NA
Xelaev18009485m.g,loc100271748.S,NA,NA,NA
Xelaev18009490m.g,parm1.S,NA,NA,NA
Xelaev18009491m.g,Xelaev18009491m.g,NA,NA,NA
Xelaev18009496m.g,Xelaev18009496m.g,NA,NA,NA
Xelaev18009515m.g,cxcl11.S,NA,NA,NA
Xelaev18009522m.g,loc101731809.S,NA,NA,NA
Xelaev18009532m.g,Xelaev18009532m.g,NA,NA,NA
Xelaev18009538m.g,Xelaev18009538m.g,NA,NA,NA
Xelaev18009543m.g,Xelaev18009543m.g,NA,NA,NA
Xelaev18009551m.g,Xelaev18009551m.g,NA,NA,NA
Xelaev18009559m.g,Xelaev18009559m.g,NA,NA,NA
Xelaev18009567m.g,Xelaev18009567m.g,NA,NA,NA
Xelaev18009569m.g,Xelaev18009569m.g,NA,NA,NA
Xelaev18009570m.g,Xelaev18009570m.g,NA,NA,NA
Xelaev18009573m.g,Xelaev18009573m.g,NA,NA,NA
Xelaev18009574m.g,Xelaev18009574m.g,NA,NA,NA
Xelaev18009577m.g,Xelaev18009577m.g,NA,NA,NA
Xelaev18009578m.g,Xelaev18009578m.g,NA,NA,NA
Xelaev18009581m.g,Xelaev18009581m.g,NA,NA,NA
Xelaev18009582m.g,Xelaev18009582m.g,NA,NA,NA
Xelaev18009583m.g,Xelaev18009583m.g,NA,NA,NA
Xelaev18009584m.g,Xelaev18009584m.g,NA,NA,NA
Xelaev18009590m.g,Xelaev18009590m.g,NA,NA,NA
Xelaev18009591m.g,Xelaev18009591m.g,NA,NA,NA
Xelaev18009592m.g,Xelaev18009592m.g,NA,NA,NA
Xelaev18009593m.g,Xelaev18009593m.g,NA,NA,NA
Xelaev18009596m.g,Xelaev18009596m.g,NA,NA,NA
Xelaev18009597m.g,Xelaev18009597m.g,NA,NA,NA
Xelaev18009599m.g,Xelaev18009599m.g,NA,NA,NA
Xelaev18009600m.g,Xelaev18009600m.g,NA,NA,NA
Xelaev18009601m.g,Xelaev18009601m.g,NA,NA,NA
