accession,eggnogID,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,XL_ID,XL_ID_source,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProtID,HUMAN_GeneNames_Primary,HUMAN_GeneNames_Synonyms,eggNOG_annotation,bait
ENOG411D3RP,ENOG411D3RP,2,2,5,3898017.40625,999820.25,2448918.828125,-3.898718200846602,-1.962999880579741,3,2,-1.3554083885209711,-0.43872760532394406,-0.4700678851553589,163916502,GenBank,NA,LOC100137631 protein [Xenopus laevis],Q9NPJ3,ACOT13,THEM2,Acyl-CoA thioesterase 13,dnai2
ENOG411D34H,ENOG411D34H,2,2,5,1266277.69140625,774753.609375,1020515.650390625,-1.6344263209406233,-0.7087843426546212,3,2,-1.3554083885209711,-0.43872760532394406,-0.4700678851553589,Xelaev18044021m.g,Xenbase_9.1,mrpl27.L,NA,Q9P0M9,MRPL27,NA,mitochondrial ribosomal protein L27,dnai2
ENOG411CTWB,ENOG411CTWB,2,2,5,2737051.6875,2409767.15625,2573409.421875,-1.1358158319990175,-0.18372892656662687,3,2,-1.3554083885209711,-0.43872760532394406,-0.4700678851553589,"147907002, Xelaev18010604m.g, Xelaev18007776m.g","GenBank, Xenbase_9.1","eif2b1.S, eif2b1.L","eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa [Xenopus laevis], NA",Q14232,EIF2B1,EIF2BA,"eukaryotic translation initiation factor 2B, subunit 1 alpha",dnai2
ENOG411CQ5J,ENOG411CQ5J,1,1,5,4311474.25,2826017.75,3568746,-1.5256359412462996,-0.6094107364711084,3,2,-1.3554083885209711,-0.43872760532394406,-0.4700678851553589,"148223471, 148230452, Xelaev18046381m.g","GenBank, Xenbase_9.1",cox4i2.S,"uncharacterized protein LOC379593 [Xenopus laevis], cytochrome c oxidase subunit IV isoform 2 (lung) [Xenopus laevis], NA",Q96KJ9,COX4I2,COX4L2,cytochrome c oxidase subunit IV isoform 2 (lung),dnai2
ENOG411CU47,ENOG411CU47,2,2,5,315225.703125,607862.40625,461544.0546875,1.9283402343905867,0.9473596216729371,3,2,-1.3554083885209711,-0.43872760532394406,-0.4700678851553589,"148228309, 49115756, Xelaev18043568m.g, Xelaev18046296m.g, Xelaev18029470m.g, Xelaev18043566m.g, Xelaev18002114m.g","GenBank, Xenbase_9.1","Xelaev18043568m.g, ogfr.S, ogfrl1.S, MGC64368.L, ogfrl1.L","uncharacterized protein LOC379466 [Xenopus laevis], LOC443624 protein [Xenopus laevis], NA","Q9NZT2, Q5TC84","OGFR, OGFRL1",NA,opioid growth factor,dnai2
ENOG411CQTH,ENOG411CQTH,9,9,22,15586661.21875,15364478.15625,15475569.6875,-1.0144608271260824,-0.02071315725616546,12,10,-1.2013847080072246,-0.26469820554889534,-0.47204214081642987,"147907240, 148228448, 148231573, 38303923, Xelaev18018634m.g, Xelaev18035017m.g","GenBank, Xenbase_9.1","ogdh.L, ogdhl.L","2-oxoglutarate dehydrogenase-like, mitochondrial precursor [Xenopus laevis], MGC80496 protein [Xenopus laevis], 2-oxoglutarate dehydrogenase, mitochondrial precursor [Xenopus laevis], Ogdh protein [Xenopus laevis], NA","Q02218, Q9ULD0","OGDH, OGDHL","NA, KIAA1290",oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),dnai2
147904348,147904348,9,10,22,10700167.474609379,9278325.126953129,9989246.300781254,-1.153243427903368,-0.20569707080527208,12,10,-1.2013847080072246,-0.26469820554889534,-0.47204214081642987,NA,GenBank,NA,MGC86492 protein [Xenopus laevis],NA,NA,NA,NA,dnai2
ENOG411CU4Y,ENOG411CU4Y,7,7,22,47428724.078125,24421424.234375,35925074.15625,-1.9420949254616153,-0.9576137183399046,12,10,-1.2013847080072246,-0.26469820554889534,-0.47204214081642987,"117558241, 147906554, 148228801, 28436774, Xelaev18046942m.g","GenBank, Xenbase_9.1",loc100036800.S,"LOC100036800 protein [Xenopus laevis], CD63 molecule [Xenopus laevis], similar to CD63 antigen [Xenopus laevis], LOC398555 protein [Xenopus laevis], NA",P08962,CD63,MLA1 TSPAN30,Cd63 molecule,dnai2
ENOG411D3JR,ENOG411D3JR,8,8,53,216371751.75,120734983.875,168553367.8125,-1.79212142831787,-0.8416683930299649,28,25,-1.1338512480896588,-0.18123138303158043,-0.4819221025127631,"147904232, 148224536",GenBank,NA,"ribosomal protein L30 [Xenopus laevis], MGC82844 protein [Xenopus laevis]",P62888,RPL30,NA,Ribosomal protein L30,dnai2
ENOG411CV4P,ENOG411CV4P,13,13,51,683212854.5625,371204244,527208549.28125,-1.840530827989402,-0.8801219143592782,27,24,-1.1385430463576158,-0.18718883832797995,-0.48866587657012706,"147898584, 148233066, 224829, 27694877, 313756, 65045, 65082",GenBank,NA,"60S ribosomal protein L4-B [Xenopus laevis], 60S ribosomal protein L4-A [Xenopus laevis], ribosomal protein L1b, Rpl4-b-prov protein [Xenopus laevis], L1a protein [Xenopus laevis], ribosomal protein L1 [Xenopus laevis], unnamed protein product [Xenopus laevis]",P36578,RPL4,RPL1,Ribosomal protein L4,dnai2
ENOG411CPMX,ENOG411CPMX,7,7,20,84635662.1875,31619156.78125,58127409.484375,-2.676721038863646,-1.420466792763241,11,9,-1.219867549668874,-0.28672451187889425,-0.4909192896417614,"12229929, 12229930",GenBank,NA,"RecName: Full=Proteasome subunit alpha type-7-B; AltName: Full=Proteasome subunit alpha 4-B, RecName: Full=Proteasome subunit alpha type-7-A; AltName: Full=Proteasome subunit alpha 4-A","O14818, Q8TAA3","PSMA7, PSMA8","HSPC, PSMA7L","The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)",dnai2
ENOG411CUDK,ENOG411CUDK,4,5,20,139135528.140625,28615959.59375,83875743.8671875,-4.862165383089706,-2.2815989664446876,11,9,-1.219867549668874,-0.28672451187889425,-0.4909192896417614,"148232668, 148234128, Xelaev18014517m.g, Xelaev18011786m.g","GenBank, Xenbase_9.1","prdx4.S, prdx4.L","peroxiredoxin 4 precursor [Xenopus laevis], uncharacterized protein LOC496089 precursor [Xenopus laevis], NA",Q13162,PRDX4,NA,Peroxiredoxin 4,dnai2
ENOG411CWCR,ENOG411CWCR,7,7,20,64671114.375,31779997.375,48225555.875,-2.034962860817417,-1.025002464760088,11,9,-1.219867549668874,-0.28672451187889425,-0.4909192896417614,"125858582, 147906891, 148227998, 148229393, 148231809, 148232796, 148236737, 157423181, 213625094, 49522906, Xelaev18014850m.g, Xelaev18024367m.g, Xelaev18021172m.g, Xelaev18037797m.g, Xelaev18036072m.g, Xelaev18024368m.g","GenBank, Xenbase_9.1","ren.S, loc613063.S, loc100493461.S, Xetrov90019222m.S, napsa.L, ctsd.S","Ce1-A protein [Xenopus laevis], cathepsin D precursor [Xenopus laevis], cathepsin E-A precursor [Xenopus laevis], MGC82347 protein precursor [Xenopus laevis], napsin A aspartic peptidase precursor [Xenopus laevis], cathepsin E-B precursor [Xenopus laevis], Cathepsin E2 [Xenopus laevis], LOC443721 protein [Xenopus laevis], NA","P07339, P14091, O96009, P00797","CTSD, CTSE, NAPSA, REN","CPSD, NA, NAP1 NAPA",cathepsin,dnai2
ENOG411CTEU,ENOG411CTEU,12,12,45,196057525.195313,218603247.15625,207330386.1757815,1.1149954429878521,0.15703781382965018,24,21,-1.1551776038531005,-0.20811467718252807,-0.5118747310098615,"148224610, 148235594, Xelaev18009122m.g, Xelaev18042210m.g","GenBank, Xenbase_9.1","slc25a4.S, slc25a5.S","adenine nucleotide translocator 2 [Xenopus laevis], solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 [Xenopus laevis], NA","P05141, P12236, P12235","SLC25A5, SLC25A6, SLC25A4","ANT2, ANT3, ANT1",solute carrier family 25 (mitochondrial carrier),dnai2
ENOG411CY7M,ENOG411CY7M,7,7,18,39960669.375,22492651.1875,31226660.28125,-1.7766100155062035,-0.8291270294576716,10,8,-1.2424576894775572,-0.3131967232400855,-0.513086831192116,"148229003, Xelaev18038058m.g, Xelaev18038057m.g, Xelaev18004281m.g","GenBank, Xenbase_9.1","Xelaev18038058m.g, Xelaev18038057m.g, Xelaev18004281m.g","proteasome 26S ATPase subunit 4 isoform 1 [Xenopus laevis], NA",P43686,PSMC4,MIP224 TBP7,"Proteasome (Prosome, macropain) 26S subunit, ATPase, 4",dnai2
ENOG411CWFT,ENOG411CWFT,6,6,18,4509085.0390625,3378512.4140625,3943798.7265625,-1.334636220454357,-0.4164465625382737,10,8,-1.2424576894775572,-0.3131967232400855,-0.513086831192116,"147900295, 147904072, 37589366, Xelaev18039186m.g, Xelaev18042456m.g","GenBank, Xenbase_9.1","bag6.L, bag6.S","large proline-rich protein bag6-B [Xenopus laevis], large proline-rich protein bag6-A [Xenopus laevis], Bat2-a protein [Xenopus laevis], NA",P46379,BAG6,BAT3 G3,BCL2-associated athanogene 6,dnai2
ENOG411CWJI,ENOG411CWJI,8,8,18,99205739.28125,40879130.1162109,70042434.69873045,-2.426806514699032,-1.2790590893660163,10,8,-1.2424576894775572,-0.3131967232400855,-0.513086831192116,"148223451, Xelaev18003966m.g, Xelaev18036222m.g","GenBank, Xenbase_9.1","Xelaev18003966m.g, Xelaev18036222m.g","ribosomal protein S19 [Xenopus laevis], NA",P39019,RPS19,NA,Ribosomal protein S19,dnai2
ENOG411CPPR,ENOG411CPPR,7,7,18,35661118.75,18124233.6875,26892676.21875,-1.9675931884830482,-0.9764319657854172,10,8,-1.2424576894775572,-0.3131967232400855,-0.513086831192116,"122936449, Xelaev18042649m.g","GenBank, Xenbase_9.1",ivd.S,"LOC733389 protein [Xenopus laevis], NA",P26440,IVD,NA,Isovaleryl-CoA dehydrogenase,dnai2
ENOG411D16E,ENOG411D16E,15,15,43,107859839.234375,60980208.140625,84420023.6875,-1.768767974449054,-0.8227448088727191,23,20,-1.1617786187322612,-0.2163351839874963,-0.5207966523039623,"1095500, 27735425, Xelaev18020971m.g","GenBank, Xenbase_9.1",psmc2.S,"MSS1-like protein, Psmc2 protein [Xenopus laevis], NA",P35998,PSMC2,MSS1,"Proteasome (Prosome, macropain) 26S subunit, ATPase 2",dnai2
ENOG411CTW2,ENOG411CTW2,5,7,41,93565813.43359381,47711708.785156295,70638761.10937506,-1.9610660740514767,-0.9716381449642764,22,19,-1.1690397350993376,-0.2253239672147508,-0.530432521615974,"147900398, 27695014",GenBank,NA,"uncharacterized protein LOC398635 [Xenopus laevis], MGC64293 protein [Xenopus laevis]",P07737,PFN1,NA,profilin 1,dnai2
ENOG411CWCC,ENOG411CWCC,6,6,16,227558389.640625,34536186.515625,131047288.078125,-6.588984268360727,-2.7200560822375035,9,7,-1.2706953642384107,-0.345618200932463,-0.5395574189647928,"13021687, 148224084, 157415960, Xelaev18004597m.g","GenBank, Xenbase_9.1",hnrnpab.L,"CArG-binding factor A [Xenopus laevis], heterogeneous nuclear ribonucleoprotein A/B [Xenopus laevis], Vg1 mRNA binding protein 40 [Xenopus laevis], NA",Q99729,HNRNPAB,ABBP1 HNRPAB,heterogeneous nuclear ribonucleoprotein A B,dnai2
ENOG411CRW9,ENOG411CRW9,5,5,16,11243353.515625,7441829.6015625,9342591.55859375,-1.5108318945201762,-0.5953431453246623,9,7,-1.2706953642384107,-0.345618200932463,-0.5395574189647928,"147898819, 54261493, Xelaev18036863m.g, Xelaev18034570m.g","GenBank, Xenbase_9.1","glrx3.S, glrx3.L","glutaredoxin 3 [Xenopus laevis], LOC495269 protein [Xenopus laevis], NA",O76003,GLRX3,PICOT TXNL2,Glutaredoxin 3,dnai2
ENOG411CP6N,ENOG411CP6N,4,4,16,24006538.25,17889183.40625,20947860.828125,-1.341958305464785,-0.42433984781705036,9,7,-1.2706953642384107,-0.345618200932463,-0.5395574189647928,"147902410, 148224480, 148238044, 54038689, Xelaev18010326m.g, Xelaev18007381m.g, Xelaev18022839m.g","GenBank, Xenbase_9.1","ndrg2.S, ndrg2.L, Xelaev18022839m.g","protein NDRG2 [Xenopus laevis], protein NDRG4-A [Xenopus laevis], protein NDRG4-B [Xenopus laevis], MGC84035 protein [Xenopus laevis], NA","Q9UN36, Q9ULP0","NDRG2, NDRG4","KIAA1248 SYLD, BDM1 KIAA1180",NDRG family member,dnai2
ENOG411CV92,ENOG411CV92,15,15,35,55861600.625,36378925.4296875,46120263.02734375,-1.535548396913709,-0.6187539834222717,19,16,-1.1959485781067394,-0.2581553596821233,-0.5646362978419998,"147898923, 147903525, Xelaev18022671m.g, Xelaev18024946m.g","GenBank, Xenbase_9.1","kars.L, kars.S","lysyl-tRNA synthetase [Xenopus laevis], NA",Q15046,KARS,KIAA0070,lysyl-tRNA synthetase,dnai2
ENOG411CPE6,ENOG411CPE6,8,8,35,102818202.71875,73180697.453125,87999450.0859375,-1.4049907461541882,-0.4905606282957194,19,16,-1.1959485781067394,-0.2581553596821233,-0.5646362978419998,"147900065, 148230354, Xelaev18045507m.g, Xelaev18047754m.g","GenBank, Xenbase_9.1","prpsap2.L, prpsap2.S","phosphoribosyl pyrophosphate synthetase-associated protein 1 [Xenopus laevis], phosphoribosyl pyrophosphate synthetase-associated protein 2 [Xenopus laevis], NA","Q14558, O60256","PRPSAP1, PRPSAP2",NA,Phosphoribosyl pyrophosphate synthetase-associated protein,dnai2
ENOG411D33R,ENOG411D33R,3,3,14,60208572.4375,21217352.9375,40712962.6875,-2.837704242129379,-1.5047242332856607,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"148237484, Xelaev18020741m.g, Xelaev18018088m.g","GenBank, Xenbase_9.1","rps17.S, rps17.L","ribosomal protein S17 [Xenopus laevis], NA",P08708,RPS17,RPS17L,ribosomal protein,dnai2
ENOG411CZ5A,ENOG411CZ5A,5,5,14,77998525.25,97600881,87799703.125,1.2513170048686273,0.3234473238093088,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"148223936, Xelaev18021274m.g","GenBank, Xenbase_9.1",slc25a3.S,"solute carrier family 25 member 3 [Xenopus laevis], NA",Q00325,SLC25A3,PHC,Solute carrier family 25 (Mitochondrial carrier,dnai2
ENOG411D3WV,ENOG411D3WV,4,4,14,83981463.5,34609935.8125,59295699.65625,-2.426513124871748,-1.278884663578795,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"148227968, 71051864, Xelaev18005628m.g","GenBank, Xenbase_9.1",rpl34.L,"ribosomal protein L34 [Xenopus laevis], Rpl34 protein [Xenopus laevis], NA",P49207,RPL34,NA,ribosomal protein L34,dnai2
ENOG411D3C6,ENOG411D3C6,5,5,14,34428248.8984375,13908646.5,24168447.69921875,-2.475312669599986,-1.3076107710066203,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"11761319, 148231554, 3341887, 9964085",GenBank,NA,"cold-inducible RNA binding protein 2 [Xenopus laevis], cold-inducible RNA-binding protein A [Xenopus laevis], cold-inducible RNA binding protein [Xenopus laevis], cold-inducible RNA binding protein XCIRP-1 [Xenopus laevis]",Q14011,CIRBP,A18HNRNP CIRP,Cold inducible RNA binding protein,dnai2
ENOG411CXHR,ENOG411CXHR,6,6,14,8297756.25,4296384.953125,6297070.6015625,-1.9313344452443861,-0.9495980144781682,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"146327513, 147902467, 148229497, 34809200, 34809202, 34809204, 34809206, 34809208, 34809210, 34809214, 34809216, 34809218, 34809220, 34809222, 34809226, 34811717, 37781769, 37781771, 46947527, Xelaev18026089m.g, Xelaev18028794m.g","GenBank, Xenbase_9.1","rtn4.L, rtn4.S","Unknown (protein for MGC:160968) [Xenopus laevis], reticulon 4 [Xenopus laevis], RTN4.2-N [Xenopus laevis], RTN4.2-C [Xenopus laevis], RTN4.2-B3 [Xenopus laevis], RTN4.2-B2 [Xenopus laevis], RTN4.2-B1 [Xenopus laevis], RTN4.2-A3 [Xenopus laevis], RTN4.1-N [Xenopus laevis], RTN4.1-C [Xenopus laevis], RTN4.1-B2 [Xenopus laevis], RTN4.1-B1 [Xenopus laevis], RTN4.1-A3 [Xenopus laevis], RTN4.1-A1 [Xenopus laevis], RTN4.2-A1 [Xenopus laevis], Nogo-A [Xenopus laevis], Nogo-B [Xenopus laevis], Nogo-B2 B isotype [Xenopus laevis], NA",Q9NQC3,RTN4,KIAA0886 NOGO,Reticulon 4,dnai2
ENOG411D2XH,ENOG411D2XH,4,4,14,49034940,15850683.5,32442811.75,-3.0935536628436244,-1.6292650601183163,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,"1350928, 147905512, 148231845, 156914875, Xelaev18000107m.g, Xelaev18003923m.g","GenBank, Xenbase_9.1","Xelaev18000107m.g, Xelaev18003923m.g","RecName: Full=40S ribosomal protein S12, 40S ribosomal protein S12 [Xenopus laevis], ribosomal protein S12 [Xenopus laevis], LOC100126614 protein [Xenopus laevis], NA",P25398,RPS12,NA,ribosomal protein S12,dnai2
ENOG411CRC6,ENOG411CRC6,7,7,14,11686805.28125,8381941.21875,10034373.25,-1.3942838509899327,-0.4795242977402234,8,6,-1.307000946073794,-0.3862601854298088,-0.5718368664667575,124297242,GenBank,NA,Cops4 protein [Xenopus laevis],Q9BT78,COPS4,CSN4,"COP9 (constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis",dnai2
ENOG411CUNG,ENOG411CUNG,13,13,33,31825120.8125,25735532.515625,28780326.6640625,-1.2366218104551667,-0.3064043559301315,18,15,-1.2071605960264902,-0.271617619488686,-0.5782463034650029,"14275775, 148228126, 148235727, Xelaev18046367m.g, Xelaev18024992m.g, Xelaev18043651m.g","GenBank, Xenbase_9.1","Xelaev18046367m.g, csnk2a2.S, Xelaev18043651m.g","alpha subunit of casein kinase II [Xenopus laevis], casein kinase II subunit alpha [Xenopus laevis], casein kinase 2, alpha prime polypeptide [Xenopus laevis], NA","P68400, Q8NEV1, P19784","CSNK2A1, CSNK2A3, CSNK2A2","CK2A1, CSNK2A1P, CK2A2","Casein kinase 2, alpha",dnai2
ENOG411CVY3,ENOG411CVY3,25,25,105,244898934.445313,201859358.84375,223379146.6445315,-1.2132156559304141,-0.2788360204398989,55,50,-1.1162186728996235,-0.15861968613120903,-0.5862847036125306,"147904838, Xelaev18046130m.g, Xelaev18043403m.g","GenBank, Xenbase_9.1","cse1l.S, cse1l.L","exportin-2 [Xenopus laevis], NA",P55060,CSE1L,CAS XPO2,CSE1 chromosome segregation 1-like (yeast),dnai2
ENOG411D3CU,ENOG411D3CU,2,2,3,2035585.3125,1227524.484375,1631554.8984375,-1.6582848964812527,-0.7296918858636691,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"146327490, 148236968, 47682838, Xelaev18039585m.g, Xelaev18041284m.g","GenBank, Xenbase_9.1","glrx5.L, glrx5.S","Unknown (protein for MGC:160815) [Xenopus laevis], glutaredoxin 5 [Xenopus laevis], Grx5-prov protein [Xenopus laevis], NA",Q86SX6,GLRX5,C14orf87,glutaredoxin 5,dnai2
ENOG411CYQZ,ENOG411CYQZ,1,1,3,102515.078125,120479.16796875,111497.123046875,1.1752336356008606,0.23294759203826162,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,Xelaev18038211m.g,Xenbase_9.1,exd3.L,NA,Q8N9H8,EXD3,NA,exonuclease 3'-5' domain containing 3,dnai2
ENOG411D3NA,ENOG411D3NA,1,1,3,24057564,6955977,15506770.5,-3.4585456507403634,-1.790165499262293,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"148224674, Xelaev18038443m.g, Xelaev18041822m.g","GenBank, Xenbase_9.1","rpl35.L, rpl35.S","ribosomal protein L35 [Xenopus laevis], NA",P42766,RPL35,NA,Ribosomal protein L35,dnai2
ENOG411CX7K,ENOG411CX7K,2,2,3,61444.40625,28517.3681640625,44980.88720703125,-2.154631026836202,-1.1074408338945807,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"126631948, Xelaev18028844m.g, Xelaev18026551m.g","GenBank, Xenbase_9.1","xrn2.S, xrn2.L","LOC100049102 protein [Xenopus laevis], NA",Q9H0D6,XRN2,NA,5'-3' exoribonuclease 2,dnai2
ENOG411D35W,ENOG411D35W,1,1,3,1160091.0625,370390.765625,765240.9140625,-3.1320733942771337,-1.647118019882793,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,146327071,GenBank,NA,LOC100049762 protein [Xenopus laevis],Q8N6L1,KRTCAP2,KCP2,Keratinocyte associated protein 2,dnai2
ENOG411CSF0,ENOG411CSF0,2,3,3,5139855.6875,2123450.15625,3631652.921875,-2.42052099615889,-1.2753176085234668,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"148227248, Xelaev18031285m.g, Xelaev18033275m.g","GenBank, Xenbase_9.1","sept7.L, sept7.S","septin-7 [Xenopus laevis], NA",Q16181,SEPTIN7,CDC10 SEPT7,septin 7,dnai2
ENOG411D218,ENOG411D218,1,1,3,268105.3203125,216295.65625,242200.48828125,-1.2395316899134445,-0.3097951558913898,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"122063399, 133737043, Xelaev18041159m.g, Xelaev18039747m.g","GenBank, Xenbase_9.1","siva1.S, siva1.L","LOC100037065 protein [Xenopus laevis], LOC100049128 protein [Xenopus laevis], NA",O15304,SIVA1,SIVA,"SIVA1, apoptosis-inducing factor",dnai2
ENOG411CTC0,ENOG411CTC0,2,2,3,734604.734375,2660149.125,1697376.9296875,3.621197904834154,1.8564670247899744,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,Xelaev18038565m.g,Xenbase_9.1,trmt12-like.L,NA,Q53H54,TRMT12,TRM12 TYW2,tRNA methyltransferase 12 homolog (S. cerevisiae),dnai2
ENOG411CVHG,ENOG411CVHG,1,1,3,723447.625,1327090.5625,1025269.09375,1.834397566098859,0.8753063458471773,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"147903171, 147904637, 28277340, Xelaev18010235m.g, Xelaev18024882m.g, Xelaev18004715m.g","GenBank, Xenbase_9.1","ap1g2.S, ap1g1.S, ap1g1.L","adaptor-related protein complex 1, gamma 2 subunit [Xenopus laevis], adaptor-related protein complex 1, gamma 1 subunit [Xenopus laevis], Wu:fc30a11 protein [Xenopus laevis], NA","O43747, O75843","AP1G1, AP1G2","ADTG CLAPG1, NA","Adaptor-related protein complex 1, gamma",dnai2
ENOG411D380,ENOG411D380,1,1,3,7014013.25,2154190.5,4584101.875,-3.2559856010877404,-1.7030943196025494,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,147904677,GenBank,NA,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Xenopus laevis]",Q92688,ANP32B,APRIL PHAPI2,"Acidic (Leucine-rich) nuclear phosphoprotein 32 family, member B",dnai2
ENOG411CPZJ,ENOG411CPZJ,1,1,3,2443344,1713833.125,2078588.5625,-1.4256603891933761,-0.5116303540267417,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"147898829, 148229220, 148233195, Xelaev18008405m.g, Xelaev18011053m.g","GenBank, Xenbase_9.1","sec11c.L, sec11c.S","SEC11 homolog C [Xenopus laevis], SEC11 homolog A [Xenopus laevis], MGC82823 protein [Xenopus laevis], NA","P67812, Q9BY50, P0C7V7","SEC11A, SEC11C, SEC11B","SEC11L1 SPC18 SPCS4A, SEC11L3 SPC21 SPCS4C, SEC11L2 SPCS4B",SEC11 homolog A (S. cerevisiae),dnai2
ENOG411CYK0,ENOG411CYK0,1,1,3,11914724,4786541.25,8350632.625,-2.4892136884853966,-1.31569008491325,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"115529151, 120577544, 66910737",GenBank,NA,LOC733250 protein [Xenopus laevis],Q14956,GPNMB,HGFIN NMB,Glycoprotein (Transmembrane) nmb,dnai2
ENOG411CQQ9,ENOG411CQQ9,1,1,3,11989684,20575350,16282517,1.7160877634473102,0.779123336434476,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"147905107, Xelaev18009331m.g","GenBank, Xenbase_9.1",etnppl.S,"alanine--glyoxylate aminotransferase 2-like 1 [Xenopus laevis], NA","Q8TBG4, Q8IUZ5","ETNPPL, PHYKPL","AGXT2L1, AGXT2L2",alanine--glyoxylate aminotransferase 2-like,dnai2
ENOG411D48X,ENOG411D48X,1,1,3,500350.515625,766422.0625,633386.2890625,1.5317703061475685,0.6151999767496895,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,Xelaev18016999m.g,Xenbase_9.1,ndufa2.L,NA,O43678,NDUFA2,NA,"Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone",dnai2
ENOG411CUY4,ENOG411CUY4,1,1,3,748367.78125,476849.203125,612608.4921875,-1.5694013460557779,-0.6502143426954872,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"148232176, 148238315, 77748240, Xelaev18007897m.g, Xelaev18007898m.g","GenBank, Xenbase_9.1","loc100497751.L, pebp1.L","phosphatidylethanolamine binding protein 1 [Xenopus laevis], uncharacterized protein LOC432045 [Xenopus laevis], MGC82659 protein [Xenopus laevis], NA",P30086,PEBP1,PBP PEBP,Phosphatidylethanolamine binding protein 1,dnai2
ENOG411CVB5,ENOG411CVB5,1,1,3,516994.453125,1085544.75,801269.6015625,2.0997222377113873,1.0701984932341373,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"148223762, Xelaev18011218m.g","GenBank, Xenbase_9.1",u2af1.L,"U2 small nuclear RNA auxiliary factor 1 [Xenopus laevis], NA","P0DN76, Q01081, Q8WU68","U2AF1L5, U2AF1, U2AF1L4","NA, U2AF35 U2AFBP, U2AF1-RS3 U2AF1L3",U2 small nuclear RNA auxiliary factor,dnai2
ENOG411CZUA,ENOG411CZUA,1,1,3,741895.1953125,558624.375,650259.78515625,-1.328075230001376,-0.4093368717419555,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"148234010, Xelaev18018571m.g","GenBank, Xenbase_9.1",fahd2a.L,"fumarylacetoacetate hydrolase domain-containing protein 2 [Xenopus laevis], NA","Q96GK7, Q6P2I3","FAHD2A, FAHD2B",NA,Fumarylacetoacetate hydrolase domain containing,dnai2
ENOG411CQQX,ENOG411CQQX,1,1,3,915550.5,196359.2421875,555954.87109375,-4.662630033608282,-2.221143960483344,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"111185523, 120538440, 1314314, 147907306, 51950272, Xelaev18044625m.g","GenBank, Xenbase_9.1",dpp4.L,"MGC64382 protein [Xenopus laevis], Unknown (protein for MGC:160365) [Xenopus laevis], fibroblast activation factor alpha [Xenopus laevis], dipeptidyl-peptidase 4 [Xenopus laevis], LOC397888 protein [Xenopus laevis], NA","Q12884, P27487","FAP, DPP4","NA, ADCP2 CD26","Fibroblast activation protein, alpha",dnai2
ENOG411CWGV,ENOG411CWGV,3,3,3,3106926.21875,2567870.703125,2837398.4609375,-1.2099231534395365,-0.27491541967146577,2,1,-1.524834437086093,-0.6086526067662568,-0.596134628314565,"147906354, Xelaev18033187m.g, Xelaev18031127m.g","GenBank, Xenbase_9.1","mrpl3.S, mrpl3.L","mitochondrial ribosomal protein L3 [Xenopus laevis], NA",P09001,MRPL3,MRL3 RPML3,Mitochondrial ribosomal protein L3,dnai2
